key,cz,en,ch
aw_diplomacy_covert_discovered_text,间作败露：{0}（{1}）,Espionage discovered: {0} ({1}),間作敗露：{0}（{1}）
aw_diplomacy_covert_result_network_active,间作网络建立成功,spy network established,間作網絡建立成功
aw_diplomacy_covert_result_spy_network_failed,布置间作失败,spy network failed,布置間作失敗
aw_diplomacy_covert_result_fabrication_started,伪造事务已转入国策,forgery entered the policy queue,偽造事務已轉入國策
aw_diplomacy_covert_result_fabrication_start_failed,伪造成功但国策无法承接,forgery succeeded but policy execution failed,偽造成功但國策無法承接
aw_diplomacy_covert_result_forgery_failed,伪造失败,forgery failed,偽造失敗
aw_diplomacy_covert_result_invalid,行动条件已经失效,the operation conditions are no longer valid,行動條件已經失效
aw_diplomacy_covert_result_at_war,两国交战使行动中止,the outbreak of war cancelled the operation,兩國交戰使行動中止
aw_diplomacy_covert_result_cannot_spy_on_suzerain,臣属关系使行动中止,the subject relationship cancelled the operation,臣屬關係使行動中止
aw_diplomacy_covert_result_covert_operation_pending,另一项秘密行动使本次行动中止,another covert operation displaced this operation,另一項秘密行動使本次行動中止
aw_diplomacy_covert_result_spy_network_required,间作网络已经失效,the spy network expired before completion,間作網絡已經失效
aw_diplomacy_covert_result_target_city_changed,目标城市易主，伪造中止,the target city changed hands and the forgery was cancelled,目標城市易主，偽造中止
aw_diplomacy_covert_result_fabrication_unavailable,目标已无法制造宣称,the target can no longer receive a fabricated claim,目標已無法製造宣稱
aw_diplomacy_covert_result_network_too_weak,间作网络已不足以支撑强宣称,the spy network is now too weak for a strong claim,間作網絡已不足以支撐強宣稱
aw_diplomacy_group_coalition_marriage,合纵与婚盟,Coalitions and marriage,合縱與婚盟
aw_diplomacy_group_strategy,谋略,Strategy,謀略
aw_diplomacy_covert_preview,用时{0}年｜成功{1}%｜败露{2}%,Duration {0} years | Success {1}% | Discovery {2}%,用時{0}年｜成功{1}%｜敗露{2}%
aw_diplomacy_discovery_chance,败露风险,Discovery risk,敗露風險
aw_diplomacy_forgery_weak,弱宣称,Weak claim,弱宣稱
aw_diplomacy_forgery_strong,强宣称,Strong claim,強宣稱
aw_diplomacy_failure_coalition_target,请选择有效的共同威胁,Select a valid common threat,請選擇有效的共同威脅
aw_diplomacy_failure_coalition_limit,一方已有两项生效中的合纵,One member already has two active coalitions,一方已有兩項生效中的合縱
aw_diplomacy_failure_active_coalition,针对该国的合纵已经生效,This coalition is already active,針對該國的合縱已經生效
aw_diplomacy_failure_missing_royal_house,双方都必须有在位君主与宗室,Both realms need a ruler and royal house,雙方都必須有在位君主與宗室
aw_diplomacy_failure_active_royal_marriage,两国宗室已有生效中的婚盟,The royal houses already have an active marriage,兩國宗室已有生效中的婚盟
aw_diplomacy_failure_no_royal_candidate,没有仍然合格的固定宗室婚配对象,No eligible fixed royal pair remains,沒有仍然合格的固定宗室婚配對象
aw_diplomacy_failure_spy_suzerain,臣属不能对宗主布置间作,A subject cannot spy on its suzerain,臣屬不能對宗主布置間作
aw_diplomacy_failure_covert_pending,两国之间已有秘密行动正在进行,Another covert operation is underway,兩國之間已有秘密行動正在進行
aw_diplomacy_failure_network_active,对该国的间作网络仍在生效,A spy network is already active,對該國的間作網絡仍在生效
aw_diplomacy_failure_network_required,必须先建立有效的间作网络,An active spy network is required,必須先建立有效的間作網絡
aw_diplomacy_failure_target_city_changed,目标城市已经易主,The target city changed hands,目標城市已經易主
aw_diplomacy_failure_fabrication_unavailable,当前无法为该城市伪造宣称,No claim can be fabricated for this city,當前無法為該城市偽造宣稱
aw_diplomacy_failure_network_too_weak,间作网络不足以支撑强宣称,The spy network is too weak for a strong claim,間作網絡不足以支撐強宣稱
aw_diplomacy_no_coalition_target,没有可选的共同威胁,No valid common threat,沒有可選的共同威脅
aw_diplomacy_no_marriage_pair,没有合格的宗室婚配对象,No eligible royal pair,沒有合格的宗室婚配對象
aw_diplomacy_marriage_direct,双方均为君主本人或直系子女,Both are rulers or direct royal children,雙方均為君主本人或直系子女
aw_diplomacy_marriage_collateral,由宗室旁支缔结婚盟,Marriage through collateral royal kin,由宗室旁支締結婚盟
aw_diplomacy_no_forgery_city,没有可选的目标城市,No target city,沒有可選的目標城市
aw_diplomacy_select_action_detail,选择动作后查看详情,Select the action to inspect details,選擇動作後查看詳情
aw_diplomacy_score_direct_royal_marriage,君主或直系婚配,Rulers or direct royal children,君主或直系婚配
aw_diplomacy_network_status,间作强度{0}｜剩余{1}年,Network strength {0} | {1} years remaining,間作強度{0}｜剩餘{1}年
aw_diplomacy_spy_points_status,间谍点数 {0}/{1}｜每年 +{2},Spy points {0}/{1} | +{2}/year,間諜點數 {0}/{1}｜每年 +{2}
aw_diplomacy_spy_claim_costs,弱宣称 {0}｜强宣称 {1},Weak claim {0} | Strong claim {1},弱宣稱 {0}｜強宣稱 {1}
aw_diplomacy_spy_selected_cost,当前花费：{0},Selected cost: {0},當前花費：{0}
aw_diplomacy_failure_insufficient_spy_points,间谍点数不足,The spy network has insufficient points,間諜點數不足
aw_diplomacy_failure_claim_already_purchased,该城市的对应宣称已经购买,This claim has already been purchased for the city,該城市的對應宣稱已經購買
aw_diplomacy_failure_claim_creation_failed,宣称写入失败，未扣除间谍点数,The claim could not be recorded; no points were spent,宣稱寫入失敗，未扣除間諜點數
